Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/12/01,00:00,18.0,0.0,87,215,1.3
2020/12/01,01:00,17.6,0.0,88,209,1.3
2020/12/01,02:00,17.7,0.0,89,258,0.0
2020/12/01,03:00,17.8,0.0,88,225,1.5
2020/12/01,04:00,17.7,0.0,87,219,0.9
2020/12/01,05:00,17.8,0.0,88,222,0.6
2020/12/01,06:00,17.8,0.0,88,206,0.7
2020/12/01,07:00,18.2,0.0,87,211,0.3
2020/12/01,08:00,19.1,0.0,83,206,2.4
2020/12/01,09:00,19.2,0.0,82,209,3.6
2020/12/01,10:00,20.3,0.0,79,220,1.9
2020/12/01,11:00,19.7,0.0,80,205,2.7
2020/12/01,12:00,20.7,0.0,78,198,2.7
2020/12/01,13:00,20.9,0.0,76,209,3.1
2020/12/01,14:00,21.3,0.0,75,213,3.3
2020/12/01,15:00,21.3,0.0,72,204,2.4
2020/12/01,16:00,18.7,0.0,84,213,3.8
2020/12/01,17:00,18.3,0.0,87,215,2.3
2020/12/01,18:00,18.0,0.0,89,208,3.2
2020/12/01,19:00,17.8,0.0,89,270,0.4
2020/12/01,20:00,18.0,0.0,88,219,1.9
2020/12/01,21:00,18.2,0.0,86,236,1.1
2020/12/01,22:00,18.4,0.0,86,218,2.2
2020/12/01,23:00,18.0,0.0,87,223,0.7
2020/12/02,00:00,17.6,0.0,89,215,1.1
2020/12/02,01:00,17.5,0.0,90,221,1.6
2020/12/02,02:00,17.4,0.0,91,224,0.7
2020/12/02,03:00,17.4,0.0,91,199,0.2
2020/12/02,04:00,17.4,0.0,91,201,0.7
2020/12/02,05:00,17.1,0.0,92,198,1.3
2020/12/02,06:00,16.9,0.0,93,210,0.4
2020/12/02,07:00,16.9,0.0,93,190,0.6
2020/12/02,08:00,17.1,0.0,92,205,1.8
2020/12/02,10:00,18.2,0.0,87,204,2.6
2020/12/02,11:00,19.1,0.0,82,209,1.2
2020/12/02,12:00,21.1,0.0,73,197,3.7
2020/12/02,13:00,21.5,0.0,72,202,4.6
2020/12/02,14:00,20.8,0.0,75,194,3.5
2020/12/02,15:00,19.9,0.0,78,212,3.4
2020/12/02,16:00,19.5,0.0,81,213,4.1
2020/12/02,18:00,18.9,0.0,83,233,2.1
2020/12/02,19:00,18.6,0.0,83,215,3.0
2020/12/02,20:00,18.5,0.0,84,212,2.7
2020/12/02,21:00,18.4,0.0,84,229,1.9
2020/12/02,22:00,18.3,0.0,82,213,1.7
2020/12/02,23:00,18.1,0.0,83,233,1.3
2020/12/03,00:00,17.9,0.0,84,235,1.2
