Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/09/01,00:00,14.9,0.0,88,219,2.4
2020/09/01,01:00,14.7,0.0,88,226,1.1
2020/09/01,02:00,14.5,0.0,88,238,0.9
2020/09/01,03:00,14.7,0.0,88,237,1.3
2020/09/01,04:00,14.4,0.0,89,229,1.1
2020/09/01,05:00,14.4,0.0,89,226,1.1
2020/09/01,06:00,14.9,0.0,89,238,1.8
2020/09/01,07:00,14.4,0.0,91,221,1.7
2020/09/01,08:00,14.2,0.0,94,220,2.1
2020/09/01,09:00,14.4,0.0,93,223,1.9
2020/09/01,10:00,15.0,0.0,90,216,2.2
2020/09/01,11:00,15.3,0.0,87,207,3.3
2020/09/01,12:00,15.1,0.0,89,212,3.7
2020/09/01,13:00,15.8,0.0,84,208,3.4
2020/09/01,14:00,15.8,0.0,83,208,4.2
2020/09/01,15:00,15.7,0.0,84,213,3.7
2020/09/01,16:00,15.8,0.0,83,219,3.0
2020/09/01,17:00,15.4,0.0,84,211,2.4
2020/09/01,18:00,15.3,0.0,83,229,2.5
2020/09/01,19:00,15.0,0.0,84,225,2.0
2020/09/01,20:00,14.9,0.0,85,223,2.7
2020/09/01,21:00,14.7,0.0,87,203,1.5
2020/09/01,22:00,14.9,0.0,88,210,1.8
2020/09/01,23:00,14.8,0.0,88,197,0.7
2020/09/02,00:00,15.0,0.0,90,256,0.2
2020/09/02,01:00,14.5,0.0,89,194,1.8
2020/09/02,02:00,14.4,0.0,88,195,1.0
2020/09/02,03:00,14.3,0.0,89,190,2.1
2020/09/02,04:00,14.2,0.0,90,201,0.8
2020/09/02,05:00,14.0,0.0,92,186,0.0
2020/09/02,06:00,14.3,0.4,94,215,0.4
2020/09/02,07:00,14.2,0.3,95,180,1.0
2020/09/02,08:00,13.8,0.2,95,191,1.8
2020/09/02,09:00,14.1,0.1,94,196,1.1
2020/09/02,10:00,14.3,0.0,93,191,2.4
2020/09/02,11:00,15.7,0.0,84,272,0.8
2020/09/02,12:00,15.9,0.0,80,183,1.9
2020/09/02,13:00,15.5,0.0,82,207,2.6
2020/09/02,14:00,15.9,0.0,77,205,2.8
2020/09/02,15:00,16.1,0.0,76,208,2.1
2020/09/02,16:00,15.7,0.0,82,204,2.6
2020/09/02,17:00,15.0,0.0,90,211,2.9
2020/09/02,18:00,14.6,0.0,93,211,2.4
2020/09/02,19:00,14.3,0.0,93,211,2.4
2020/09/02,20:00,14.3,0.0,93,228,2.0
2020/09/02,21:00,13.8,0.1,94,227,1.6
2020/09/02,22:00,13.9,0.0,94,220,2.3
2020/09/02,23:00,14.2,0.0,93,213,1.8
2020/09/03,00:00,13.9,0.0,93,216,1.8
2020/09/03,01:00,13.7,0.0,93,207,1.2
2020/09/03,02:00,13.7,0.0,94,199,0.7
2020/09/03,03:00,13.8,0.0,93,279,0.6
2020/09/03,04:00,13.9,0.0,91,200,0.5
2020/09/03,05:00,13.9,0.1,91,193,0.9
2020/09/03,06:00,14.0,0.0,91,207,1.2
2020/09/03,07:00,14.3,0.0,90,213,1.0
2020/09/03,08:00,15.0,0.0,87,234,0.9
2020/09/03,09:00,15.4,0.0,84,212,2.2
2020/09/03,10:00,15.9,0.0,80,208,3.0
2020/09/03,11:00,15.6,0.0,81,203,4.2
2020/09/03,12:00,15.5,0.0,86,215,2.2
2020/09/03,13:00,15.4,0.0,84,208,3.6
2020/09/03,14:00,15.5,0.0,82,204,3.4
2020/09/03,15:00,15.3,0.0,86,211,3.9
2020/09/03,16:00,15.0,0.0,88,212,3.6
2020/09/03,17:00,14.9,0.0,86,228,1.8
2020/09/03,18:00,14.8,0.0,85,234,1.6
2020/09/03,19:00,14.9,0.0,85,247,1.3
2020/09/03,20:00,15.0,0.0,86,226,1.5
2020/09/03,21:00,14.5,0.0,87,230,1.8
2020/09/03,22:00,14.6,0.0,86,246,1.2
2020/09/03,23:00,14.6,0.0,86,220,1.5
2020/09/04,00:00,14.5,0.0,86,211,2.3
2020/09/04,01:00,14.5,0.0,89,208,1.8
2020/09/04,02:00,13.9,0.0,88,213,2.2
2020/09/04,03:00,13.8,0.0,91,209,2.7
2020/09/04,04:00,13.5,0.0,91,201,1.9
2020/09/04,05:00,13.5,0.0,89,195,2.1
2020/09/04,06:00,13.9,0.0,87,208,1.3
2020/09/04,07:00,13.8,0.0,88,196,1.4
2020/09/04,08:00,13.9,0.0,89,200,2.3
2020/09/04,09:00,14.4,0.0,85,193,1.4
2020/09/04,10:00,15.3,0.0,80,205,1.8
2020/09/04,11:00,16.2,0.0,77,179,1.5
2020/09/04,12:00,17.3,0.0,74,209,2.3
2020/09/04,13:00,17.9,0.0,73,208,4.1
2020/09/04,14:00,17.4,0.0,75,196,3.6
2020/09/04,15:00,16.6,0.0,78,208,3.7
2020/09/04,16:00,16.2,0.0,80,209,3.5
2020/09/04,17:00,16.2,0.0,80,210,2.9
2020/09/04,18:00,15.0,0.0,84,205,2.7
2020/09/04,19:00,14.7,0.0,86,209,2.6
2020/09/04,20:00,14.7,0.0,86,230,1.0
2020/09/04,21:00,14.7,0.0,87,210,2.9
2020/09/04,22:00,14.5,0.0,86,215,2.1
2020/09/04,23:00,14.6,0.0,87,216,1.8
2020/09/05,00:00,14.2,0.0,88,218,1.6
2020/09/05,01:00,14.5,0.0,88,213,1.9
2020/09/05,02:00,14.4,0.0,88,213,1.2
2020/09/05,03:00,14.1,0.0,89,206,0.6
2020/09/05,04:00,13.9,0.0,90,211,1.4
2020/09/05,05:00,13.8,0.0,91,200,1.4
2020/09/05,06:00,13.7,0.0,91,20,0.1
2020/09/05,07:00,14.0,0.0,90,184,1.3
2020/09/05,08:00,14.5,0.0,88,196,1.8
