Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/05/01,00:00,20.3,0.0,83,206,1.5
2020/05/01,01:00,19.4,0.0,87,183,1.6
2020/05/01,02:00,18.9,0.0,89,212,1.6
2020/05/01,03:00,18.6,0.0,89,200,1.0
2020/05/01,04:00,19.0,0.0,87,202,1.8
2020/05/01,05:00,18.9,0.0,88,206,0.2
2020/05/01,06:00,19.0,0.0,88,180,1.1
2020/05/01,07:00,18.9,0.0,88,196,2.1
2020/05/01,08:00,19.5,0.0,85,186,2.0
2020/05/01,09:00,20.8,0.0,80,195,2.0
2020/05/01,10:00,23.6,0.0,69,259,2.2
2020/05/01,11:00,23.8,0.0,67,194,4.1
2020/05/01,12:00,24.0,0.0,67,183,3.9
2020/05/01,13:00,24.4,0.0,65,183,2.9
2020/05/01,14:00,24.3,0.0,66,190,3.9
2020/05/01,15:00,23.9,0.0,68,199,2.7
2020/05/01,16:00,22.6,0.0,73,213,3.8
2020/05/01,17:00,21.2,0.0,77,221,1.9
2020/05/01,18:00,21.1,0.0,78,208,3.0
2020/05/01,19:00,21.1,0.0,76,209,3.0
2020/05/01,20:00,21.1,0.0,74,230,1.3
2020/05/01,21:00,21.1,0.0,76,221,1.3
2020/05/01,22:00,20.6,0.0,82,240,0.6
2020/05/01,23:00,21.1,0.0,80,212,2.3
2020/05/02,00:00,20.7,0.0,84,211,2.1
2020/05/02,01:00,20.2,0.0,85,202,1.2
2020/05/02,02:00,19.3,0.0,90,188,2.0
2020/05/02,03:00,18.9,0.0,90,201,1.7
2020/05/02,04:00,18.7,0.0,91,192,2.8
2020/05/02,05:00,18.6,0.0,91,209,1.3
2020/05/02,06:00,18.7,0.0,90,318,0.0
2020/05/02,07:00,19.2,0.0,90,96,0.0
2020/05/02,08:00,20.6,0.0,82,202,2.0
2020/05/02,09:00,21.4,0.0,80,207,2.0
2020/05/02,10:00,23.0,0.0,73,214,2.2
2020/05/02,11:00,24.1,0.0,70,196,2.0
2020/05/02,12:00,23.7,0.0,68,193,2.9
2020/05/02,13:00,24.7,0.0,66,217,2.8
2020/05/02,14:00,23.3,0.0,72,223,1.9
2020/05/02,15:00,22.5,0.0,72,200,4.0
2020/05/02,16:00,21.6,0.0,74,211,3.6
2020/05/02,17:00,21.3,0.0,75,214,2.5
2020/05/02,18:00,20.3,0.0,82,212,2.4
2020/05/02,19:00,20.1,0.0,80,223,1.7
2020/05/02,20:00,20.2,0.0,79,280,0.7
2020/05/02,21:00,20.7,0.0,78,268,0.7
2020/05/02,22:00,20.7,0.0,78,211,2.6
2020/05/02,23:00,19.3,0.0,87,204,1.5
2020/05/03,00:00,19.1,0.0,87,293,0.5
2020/05/03,01:00,19.2,0.0,88,212,0.0
2020/05/03,02:00,19.3,0.0,85,201,1.0
2020/05/03,03:00,18.8,0.0,89,187,2.1
2020/05/03,04:00,18.3,0.0,90,196,2.1
2020/05/03,05:00,18.4,0.0,91,242,0.4
2020/05/03,06:00,18.9,0.0,87,198,2.3
2020/05/03,07:00,18.3,0.0,91,199,2.8
2020/05/03,08:00,18.9,0.0,89,204,2.4
2020/05/03,09:00,20.7,0.0,84,207,1.0
2020/05/03,10:00,22.9,0.0,72,198,1.4
2020/05/03,11:00,26.3,0.0,62,238,2.0
2020/05/03,12:00,25.0,0.0,65,194,3.3
2020/05/03,13:00,23.9,0.0,68,190,3.9
2020/05/03,14:00,24.3,0.0,68,196,3.8
2020/05/03,15:00,22.3,0.0,73,185,3.7
2020/05/03,16:00,21.1,0.0,78,217,4.0
2020/05/03,17:00,20.1,0.0,83,219,2.8
2020/05/03,18:00,20.5,0.0,81,226,1.5
2020/05/03,19:00,19.8,0.0,83,220,2.1
2020/05/03,20:00,20.0,0.0,81,234,1.6
2020/05/03,21:00,20.1,0.0,81,301,0.5
2020/05/03,22:00,20.6,0.0,80,219,1.3
2020/05/03,23:00,19.4,0.0,87,221,1.8
2020/05/04,00:00,19.7,0.0,87,231,0.6
2020/05/04,01:00,19.7,0.0,86,184,1.1
2020/05/04,02:00,19.6,0.0,86,202,0.6
2020/05/04,03:00,18.3,0.0,91,204,2.6
2020/05/04,04:00,18.6,0.0,91,223,0.6
2020/05/04,05:00,18.7,0.0,90,306,0.0
2020/05/04,06:00,19.2,0.0,88,35,0.1
2020/05/04,07:00,19.1,0.0,90,207,2.4
2020/05/04,08:00,19.3,0.0,89,210,0.9
2020/05/04,09:00,19.9,0.0,84,205,2.9
2020/05/04,10:00,21.0,0.0,78,210,0.8
2020/05/04,11:00,23.9,0.0,69,64,0.9
2020/05/04,12:00,24.5,0.0,63,206,0.6
2020/05/04,13:00,21.3,0.0,80,208,4.2
2020/05/04,14:00,20.0,0.0,82,209,3.9
2020/05/04,15:00,21.0,0.0,78,203,2.3
2020/05/04,16:00,21.1,0.0,78,220,0.9
2020/05/04,17:00,23.3,0.0,68,235,0.2
2020/05/04,18:00,19.7,0.0,84,213,2.4
2020/05/04,19:00,18.7,0.0,90,211,3.1
2020/05/04,20:00,19.5,0.0,86,50,0.5
2020/05/04,21:00,19.7,0.0,83,207,3.3
2020/05/04,22:00,19.1,0.0,86,217,1.6
2020/05/04,23:00,19.3,0.0,85,42,0.5
2020/05/05,00:00,20.3,0.0,81,218,1.1
2020/05/05,01:00,19.6,0.0,83,192,1.2
2020/05/05,02:00,18.8,0.0,89,44,0.0
2020/05/05,03:00,18.9,0.0,87,208,2.6
2020/05/05,04:00,18.1,0.0,93,223,0.7
2020/05/05,05:00,18.2,0.0,91,314,0.6
2020/05/05,06:00,18.5,0.0,90,209,1.5
2020/05/05,07:00,18.4,0.0,91,216,1.9
2020/05/05,08:00,19.1,0.0,87,37,0.8
2020/05/05,09:00,20.4,0.0,80,203,1.4
2020/05/05,10:00,21.5,0.0,76,341,0.6
2020/05/05,11:00,21.4,0.0,77,211,2.1
2020/05/05,12:00,23.6,0.0,69,145,0.6
2020/05/05,13:00,21.3,0.0,76,212,4.3
2020/05/05,14:00,21.1,0.0,78,223,1.8
2020/05/05,15:00,21.9,0.0,73,230,0.5
2020/05/05,16:00,19.3,0.0,84,210,3.7
2020/05/05,17:00,20.3,0.0,80,223,1.1
2020/05/05,18:00,20.2,0.0,80,18,0.3
2020/05/05,19:00,20.8,0.0,77,231,0.7
2020/05/05,20:00,18.5,0.0,88,202,2.2
2020/05/05,21:00,18.8,0.0,89,33,0.3
2020/05/05,22:00,18.6,0.0,88,183,2.4
2020/05/05,23:00,17.9,0.0,92,215,1.9
2020/05/06,00:00,18.2,0.0,91,222,1.6
2020/05/06,01:00,18.0,0.0,91,216,0.6
2020/05/06,02:00,17.9,0.0,91,204,0.7
2020/05/06,03:00,18.1,0.0,92,39,0.3
2020/05/06,04:00,18.1,0.0,89,22,0.3
2020/05/06,05:00,18.4,0.0,88,68,0.1
2020/05/06,06:00,17.9,0.0,91,200,2.5
2020/05/06,07:00,17.6,0.0,93,192,1.8
2020/05/06,08:00,18.2,0.0,91,221,0.7
2020/05/06,09:00,19.5,0.0,84,183,1.7
2020/05/06,10:00,22.0,0.0,74,213,1.3
2020/05/06,11:00,21.1,0.0,76,194,4.2
2020/05/06,12:00,23.9,0.0,65,199,1.6
2020/05/06,13:00,24.5,0.0,65,198,4.2
2020/05/06,14:00,22.4,0.0,72,193,3.0
2020/05/06,15:00,22.0,0.0,73,201,3.6
2020/05/06,16:00,21.8,0.0,74,217,3.1
2020/05/06,17:00,20.2,0.0,80,211,2.9
2020/05/06,18:00,20.0,0.0,82,215,1.7
2020/05/06,19:00,19.8,0.0,83,212,1.8
2020/05/06,20:00,19.4,0.0,86,211,1.6
2020/05/06,21:00,20.0,0.0,82,209,1.8
2020/05/06,22:00,19.7,0.0,84,269,0.7
2020/05/06,23:00,19.7,0.0,85,207,2.3
2020/05/07,00:00,19.2,0.0,87,206,1.7
2020/05/07,01:00,19.1,0.0,87,201,1.0
2020/05/07,02:00,19.3,0.0,88,47,0.2
2020/05/07,03:00,19.6,0.0,85,297,0.0
2020/05/07,04:00,19.2,0.0,87,169,0.1
2020/05/07,05:00,19.5,0.0,86,133,0.7
2020/05/07,06:00,19.3,0.0,87,327,0.7
2020/05/07,07:00,19.5,0.0,87,262,0.0
2020/05/07,08:00,20.4,0.0,83,210,1.3
2020/05/07,09:00,21.4,0.0,80,190,2.0
2020/05/07,10:00,22.3,0.0,75,192,2.1
2020/05/07,11:00,23.8,0.0,70,197,2.6
2020/05/07,12:00,22.3,0.0,74,194,3.4
2020/05/07,13:00,22.3,0.0,72,201,2.2
2020/05/07,14:00,21.2,0.0,77,185,2.7
2020/05/07,15:00,20.5,0.0,81,216,2.5
2020/05/07,16:00,19.9,0.0,83,206,3.3
2020/05/07,17:00,19.6,0.0,87,207,2.5
2020/05/07,18:00,19.4,0.0,87,215,1.5
2020/05/07,19:00,19.7,0.0,85,208,2.5
2020/05/07,20:00,19.9,0.0,84,237,1.0
2020/05/07,21:00,19.5,0.0,86,257,1.0
2020/05/07,22:00,19.3,0.0,86,211,2.2
2020/05/07,23:00,18.8,0.0,90,222,0.8
2020/05/08,00:00,18.8,0.0,91,202,0.7
2020/05/08,01:00,18.7,0.0,91,214,0.9
2020/05/08,02:00,18.7,0.0,90,208,1.0
2020/05/08,03:00,18.3,0.0,92,318,0.1
2020/05/08,04:00,18.6,0.0,92,339,0.0
2020/05/08,05:00,18.7,0.0,91,91,0.0
2020/05/08,06:00,18.6,0.0,91,281,0.0
2020/05/08,07:00,18.8,0.0,90,201,0.6
2020/05/08,08:00,19.3,0.0,89,211,2.2
2020/05/08,09:00,21.4,0.0,79,208,3.2
2020/05/08,10:00,22.4,0.0,76,215,2.9
2020/05/08,11:00,22.7,0.0,73,207,3.3
2020/05/08,12:00,23.5,0.0,69,213,3.3
2020/05/08,13:00,23.3,0.0,69,205,5.0
2020/05/08,14:00,23.1,0.0,69,213,4.3
2020/05/08,15:00,23.0,0.0,69,210,3.6
2020/05/08,16:00,20.8,0.0,79,208,3.6
2020/05/08,17:00,19.2,0.0,86,206,2.0
2020/05/08,18:00,18.9,0.0,86,217,1.9
2020/05/08,19:00,19.5,0.0,82,219,2.6
2020/05/08,20:00,19.3,0.0,81,249,0.9
2020/05/08,21:00,19.0,0.0,84,227,1.6
2020/05/08,22:00,18.7,0.0,87,225,1.8
2020/05/08,23:00,18.7,0.0,88,214,1.9
2020/05/09,00:00,18.6,0.0,89,227,0.9
2020/05/09,01:00,18.4,0.0,89,205,1.6
2020/05/09,02:00,18.0,0.0,91,219,1.2
2020/05/09,03:00,18.0,0.0,91,211,0.8
2020/05/09,04:00,18.1,0.0,91,202,1.2
2020/05/09,05:00,17.8,0.0,91,193,1.5
2020/05/09,06:00,17.9,0.0,92,204,1.3
2020/05/09,07:00,18.1,0.0,90,210,1.7
2020/05/09,08:00,19.4,0.0,85,294,0.4
2020/05/09,09:00,20.0,0.0,80,205,2.9
2020/05/09,10:00,22.0,0.0,72,221,3.0
2020/05/09,11:00,23.0,0.0,69,214,3.4
2020/05/09,12:00,23.5,0.0,67,215,4.3
2020/05/09,13:00,24.0,0.0,64,217,3.4
2020/05/09,14:00,24.2,0.0,62,233,3.3
2020/05/09,15:00,24.0,0.0,62,246,2.0
2020/05/09,16:00,23.4,0.0,64,221,3.1
2020/05/09,17:00,22.0,0.0,70,240,2.6
2020/05/09,18:00,21.0,0.0,73,231,2.6
2020/05/09,19:00,21.0,0.0,75,228,2.5
