Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/04/01,00:00,21.0,0.0,93,205,1.6
2020/04/01,01:00,20.7,0.0,94,209,0.3
2020/04/01,02:00,20.9,0.0,94,352,0.0
2020/04/01,03:00,21.3,0.0,93,318,0.0
2020/04/01,04:00,21.4,0.0,90,278,1.4
2020/04/01,05:00,21.3,0.0,91,197,0.3
2020/04/01,06:00,21.3,0.0,90,348,0.0
2020/04/01,07:00,22.0,0.0,90,352,0.0
2020/04/01,08:00,24.1,0.0,81,220,0.5
2020/04/01,09:00,26.0,0.0,68,218,1.7
2020/04/01,10:00,26.3,0.0,67,213,2.3
2020/04/01,11:00,24.9,0.0,72,205,2.9
2020/04/01,12:00,23.3,0.0,80,210,2.9
2020/04/01,13:00,23.9,0.0,80,212,1.8
2020/04/01,14:00,25.3,0.0,67,199,1.4
2020/04/01,15:00,24.9,0.0,66,197,4.2
2020/04/01,16:00,23.2,0.0,80,211,3.3
2020/04/01,17:00,22.8,0.0,79,221,2.6
2020/04/01,18:00,23.0,0.0,79,267,0.5
2020/04/01,19:00,23.1,0.0,75,218,1.4
2020/04/01,20:00,22.8,0.0,76,222,1.6
2020/04/01,21:00,22.9,0.0,73,224,1.5
2020/04/01,22:00,22.8,0.0,76,215,1.9
2020/04/01,23:00,22.0,0.0,84,211,1.1
2020/04/02,00:00,21.6,0.0,87,230,0.7
2020/04/02,01:00,21.5,0.0,87,234,0.6
2020/04/02,02:00,21.8,0.0,86,210,1.4
2020/04/02,03:00,21.3,0.0,89,181,2.0
2020/04/02,04:00,20.5,0.0,92,228,0.9
2020/04/02,05:00,20.5,0.0,92,247,0.1
2020/04/02,06:00,20.7,0.0,91,205,0.9
2020/04/02,07:00,21.0,0.0,90,188,0.0
2020/04/02,08:00,23.9,0.0,77,253,0.2
2020/04/02,09:00,25.3,0.0,74,201,2.2
2020/04/02,10:00,24.2,0.0,76,195,3.8
2020/04/02,11:00,24.8,0.0,73,189,2.4
2020/04/02,12:00,26.2,0.0,69,203,3.9
2020/04/02,13:00,25.2,0.0,73,207,3.8
2020/04/02,14:00,25.4,0.0,66,196,3.3
2020/04/02,15:00,25.5,0.0,69,214,4.4
2020/04/02,16:00,24.2,0.0,74,217,3.0
2020/04/02,17:00,22.4,0.0,81,213,4.0
2020/04/02,18:00,21.5,0.0,86,219,2.9
2020/04/02,19:00,21.5,0.0,84,221,2.7
2020/04/02,20:00,21.7,0.0,85,219,1.6
2020/04/02,21:00,21.5,0.0,86,238,0.7
2020/04/02,22:00,21.3,0.0,88,278,0.9
2020/04/02,23:00,21.2,0.0,88,216,3.0
2020/04/03,00:00,20.7,0.0,90,213,2.7
2020/04/03,01:00,20.5,0.0,91,210,2.6
2020/04/03,02:00,20.1,0.0,92,211,2.7
2020/04/03,03:00,20.0,0.0,93,211,1.6
2020/04/03,04:00,20.1,0.0,92,197,1.0
2020/04/03,05:00,20.3,0.0,92,196,0.7
2020/04/03,06:00,20.3,0.0,91,193,1.1
2020/04/03,07:00,20.4,0.0,90,213,1.2
2020/04/03,08:00,21.3,0.0,86,196,1.8
2020/04/03,09:00,20.9,0.0,87,192,3.0
2020/04/03,10:00,21.6,0.0,87,190,2.3
2020/04/03,11:00,23.6,0.0,76,208,2.6
2020/04/03,12:00,23.0,0.0,77,191,3.4
2020/04/03,13:00,23.4,0.0,75,197,4.2
2020/04/03,14:00,22.8,0.0,77,191,3.8
2020/04/03,15:00,23.2,0.0,76,207,3.1
2020/04/03,16:00,21.4,0.0,82,201,4.3
2020/04/03,17:00,20.3,0.0,89,224,2.5
2020/04/03,18:00,20.3,0.0,91,219,3.1
2020/04/03,19:00,20.6,0.0,88,297,0.4
2020/04/03,20:00,20.6,0.0,87,219,2.2
2020/04/03,21:00,20.8,0.0,86,228,2.3
2020/04/03,22:00,20.9,0.0,84,216,2.1
2020/04/03,23:00,20.7,0.0,84,216,1.2
2020/04/04,00:00,20.6,0.0,84,222,1.7
2020/04/04,01:00,20.6,0.0,84,239,0.3
2020/04/04,02:00,20.3,0.0,87,305,0.0
2020/04/04,03:00,20.1,0.0,88,198,1.8
2020/04/04,04:00,19.5,0.0,90,210,2.5
2020/04/04,05:00,19.5,0.0,90,222,1.3
2020/04/04,06:00,19.5,0.0,91,225,0.0
2020/04/04,07:00,20.1,0.0,88,196,1.1
2020/04/04,08:00,21.4,0.0,83,230,1.4
2020/04/04,09:00,21.4,0.0,81,193,3.1
