Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/01/01,00:00,20.9,0.0,87,314,0.3
2020/01/01,01:00,20.8,0.0,88,218,2.5
2020/01/01,02:00,20.8,0.0,88,214,2.3
2020/01/01,03:00,20.4,0.0,90,209,2.7
2020/01/01,04:00,20.7,0.0,90,254,0.6
2020/01/01,05:00,20.3,0.0,90,261,0.8
2020/01/01,06:00,20.4,0.0,90,227,1.0
2020/01/01,07:00,20.7,0.0,89,216,2.6
2020/01/01,08:00,20.9,0.0,88,214,2.5
2020/01/01,09:00,21.2,0.0,86,216,3.0
2020/01/01,10:00,21.7,0.0,83,214,3.1
2020/01/01,11:00,23.6,0.0,77,217,2.6
2020/01/01,12:00,25.0,0.0,70,212,4.3
2020/01/01,13:00,24.5,0.0,71,212,4.3
2020/01/01,14:00,23.9,0.0,72,216,4.1
2020/01/01,15:00,23.9,0.0,74,216,4.3
2020/01/01,16:00,23.9,0.0,73,219,4.2
2020/01/01,17:00,23.9,0.0,72,212,4.7
2020/01/01,18:00,22.8,0.0,76,218,3.7
2020/01/01,19:00,22.1,0.0,80,221,2.5
2020/01/01,20:00,21.5,0.0,84,273,1.2
2020/01/01,21:00,21.2,0.0,86,264,1.3
2020/01/01,22:00,21.4,0.0,85,215,2.3
2020/01/01,23:00,20.9,0.0,87,257,1.2
2020/01/02,00:00,21.0,0.0,89,231,1.9
2020/01/02,01:00,20.7,0.0,89,220,3.0
2020/01/02,02:00,20.7,0.0,89,225,2.0
2020/01/02,03:00,20.7,0.0,89,238,0.7
2020/01/02,04:00,20.3,0.0,89,213,2.8
2020/01/02,05:00,19.9,0.0,92,210,1.8
2020/01/02,06:00,19.9,0.0,93,212,1.9
2020/01/02,07:00,19.9,0.0,93,211,1.9
2020/01/02,08:00,20.1,0.0,91,224,1.5
2020/01/02,09:00,21.5,0.0,86,107,0.8
2020/01/02,10:00,22.0,0.0,80,217,3.5
2020/01/02,11:00,23.3,0.0,76,210,4.3
2020/01/02,12:00,24.4,0.0,74,217,3.0
2020/01/02,13:00,25.1,0.0,68,214,4.0
2020/01/02,14:00,25.1,0.0,68,212,5.0
2020/01/02,15:00,25.1,0.0,68,214,4.2
2020/01/02,16:00,24.9,0.0,66,220,4.1
2020/01/02,17:00,24.7,0.0,69,212,3.4
2020/01/02,18:00,23.4,0.0,74,213,3.0
2020/01/02,19:00,23.4,0.0,74,216,2.9
2020/01/02,20:00,23.0,0.0,76,213,2.5
2020/01/02,21:00,23.1,0.0,73,226,1.6
2020/01/02,22:00,22.4,0.0,78,229,1.8
2020/01/02,23:00,21.6,0.0,84,228,1.5
2020/01/03,00:00,21.3,0.0,84,227,2.5
2020/01/03,01:00,21.0,0.0,83,234,1.4
2020/01/03,02:00,20.9,0.0,85,224,2.1
2020/01/03,03:00,20.7,0.0,86,239,1.4
2020/01/03,04:00,20.4,0.0,87,232,0.7
2020/01/03,05:00,20.4,0.0,88,223,2.0
2020/01/03,06:00,20.4,0.0,88,244,1.2
2020/01/03,07:00,20.6,0.0,88,245,1.4
2020/01/03,08:00,21.5,0.0,84,212,3.9
2020/01/03,09:00,22.3,0.0,80,213,3.9
2020/01/03,10:00,23.9,0.0,73,226,3.5
2020/01/03,11:00,23.7,0.0,74,210,5.7
2020/01/03,12:00,24.1,0.0,70,215,5.2
2020/01/03,13:00,24.6,0.0,69,218,5.1
2020/01/03,14:00,24.6,0.0,68,216,5.6
2020/01/03,15:00,24.9,0.0,68,213,4.8
2020/01/03,16:00,23.8,0.0,72,216,6.5
2020/01/03,17:00,23.9,0.0,72,222,4.1
2020/01/03,18:00,23.0,0.0,73,223,3.4
2020/01/03,19:00,22.1,0.0,78,228,2.7
2020/01/03,20:00,21.9,0.0,81,229,2.8
2020/01/03,21:00,21.8,0.0,82,232,2.4
2020/01/03,22:00,21.8,0.0,83,227,3.5
2020/01/03,23:00,21.8,0.0,85,264,1.3
2020/01/04,00:00,21.8,0.0,86,233,1.8
2020/01/04,01:00,21.6,0.0,87,215,2.7
2020/01/04,02:00,21.5,0.0,88,214,2.7
2020/01/04,03:00,21.2,0.0,90,211,2.8
2020/01/04,04:00,21.0,0.0,91,210,2.2
2020/01/04,05:00,20.7,0.0,90,216,1.6
2020/01/04,06:00,20.8,0.0,90,216,1.6
2020/01/04,07:00,21.5,0.0,87,197,1.3
2020/01/04,08:00,21.8,0.0,86,200,1.6
2020/01/04,09:00,24.1,0.0,77,209,1.8
2020/01/04,10:00,24.1,0.0,74,184,3.0
2020/01/04,11:00,25.0,0.0,73,215,4.8
2020/01/04,12:00,24.1,0.0,76,212,5.6
2020/01/04,13:00,23.9,0.0,78,214,4.2
2020/01/04,14:00,24.2,0.0,76,209,5.0
2020/01/04,15:00,24.6,0.0,74,222,2.4
2020/01/04,16:00,23.4,0.0,77,193,4.6
2020/01/04,17:00,22.8,0.0,81,212,3.9
2020/01/04,18:00,21.0,0.0,89,213,3.4
2020/01/04,19:00,21.1,0.0,88,238,2.1
2020/01/04,20:00,21.2,0.0,88,219,2.8
2020/01/04,21:00,21.0,0.0,88,244,1.3
2020/01/04,22:00,21.1,0.0,88,229,1.7
2020/01/04,23:00,21.4,0.0,87,218,2.5
2020/01/05,00:00,21.2,0.0,89,212,3.4
2020/01/05,01:00,20.8,0.0,89,262,1.1
2020/01/05,02:00,20.8,0.0,89,237,1.7
2020/01/05,03:00,20.7,0.0,90,211,2.7
2020/01/05,04:00,20.4,0.0,90,223,3.0
2020/01/05,05:00,20.5,0.0,89,230,1.8
2020/01/05,06:00,20.5,0.0,90,230,0.9
2020/01/05,07:00,20.9,0.0,88,281,0.6
2020/01/05,08:00,22.0,0.0,84,324,0.5
2020/01/05,09:00,25.4,0.0,68,226,1.9
2020/01/05,10:00,25.0,0.0,71,212,3.7
2020/01/05,11:00,25.5,0.0,66,212,4.4
2020/01/05,12:00,24.2,0.0,74,209,6.5
2020/01/05,13:00,25.2,0.0,69,216,4.4
2020/01/05,14:00,24.2,0.0,72,212,5.1
2020/01/05,15:00,24.3,0.0,73,216,4.3
2020/01/05,16:00,23.5,0.0,79,217,4.0
2020/01/05,17:00,22.9,0.0,79,216,4.2
2020/01/05,18:00,22.6,0.0,81,222,2.6
2020/01/05,19:00,22.0,0.0,83,216,2.7
2020/01/05,20:00,21.4,0.0,86,217,2.8
2020/01/05,21:00,21.5,0.0,85,256,1.3
2020/01/05,22:00,21.6,0.0,84,241,1.3
2020/01/05,23:00,21.0,0.0,87,271,1.4
2020/01/06,00:00,20.9,0.0,86,237,1.8
2020/01/06,01:00,20.7,0.0,88,226,2.6
2020/01/06,02:00,20.6,0.0,88,231,1.5
2020/01/06,03:00,20.4,0.0,89,222,2.0
2020/01/06,04:00,20.2,0.0,90,229,1.7
2020/01/06,05:00,20.3,0.0,89,212,2.2
2020/01/06,06:00,20.3,0.0,89,219,2.0
2020/01/06,07:00,20.6,0.0,88,217,1.7
2020/01/06,08:00,21.0,0.0,86,204,2.4
2020/01/06,09:00,22.7,0.0,79,200,2.7
2020/01/06,10:00,23.6,0.0,75,198,3.7
2020/01/06,11:00,22.9,0.0,78,208,7.4
2020/01/06,12:00,23.9,0.0,75,212,4.8
2020/01/06,13:00,24.6,0.0,69,212,4.5
2020/01/06,14:00,24.4,0.0,73,213,5.4
2020/01/06,15:00,24.2,0.0,73,215,4.6
2020/01/06,16:00,23.6,0.0,75,212,5.3
2020/01/06,17:00,23.3,0.0,78,215,5.3
2020/01/06,18:00,22.1,0.0,81,211,4.4
2020/01/06,19:00,21.7,0.0,82,240,2.2
2020/01/06,20:00,21.7,0.0,82,263,1.6
2020/01/06,21:00,21.6,0.0,83,224,2.3
2020/01/06,22:00,21.3,0.0,84,231,1.8
2020/01/06,23:00,21.6,0.0,85,230,1.3
2020/01/07,00:00,21.3,0.0,85,243,1.6
2020/01/07,01:00,21.0,0.0,87,229,1.8
2020/01/07,02:00,21.1,0.0,86,244,0.9
2020/01/07,03:00,21.2,0.0,87,257,0.9
2020/01/07,04:00,21.0,0.0,87,221,2.7
2020/01/07,05:00,21.0,0.0,87,221,2.4
2020/01/07,06:00,21.0,0.0,86,220,3.1
2020/01/07,07:00,21.3,0.0,83,219,2.6
2020/01/07,08:00,22.1,0.0,79,253,0.9
2020/01/07,09:00,23.2,0.0,76,202,2.9
2020/01/07,10:00,23.4,0.0,76,214,2.7
2020/01/07,11:00,24.2,0.0,73,215,4.0
2020/01/07,12:00,24.5,0.0,69,212,3.9
2020/01/07,13:00,24.0,0.0,73,207,6.3
2020/01/07,14:00,24.9,0.0,70,216,4.8
2020/01/07,15:00,24.9,0.0,69,222,3.2
2020/01/07,16:00,24.0,0.0,73,208,5.3
2020/01/07,17:00,24.2,0.0,72,216,4.2
2020/01/07,18:00,23.0,0.0,77,212,4.0
2020/01/07,19:00,22.8,0.0,78,223,2.9
2020/01/07,20:00,22.9,0.0,76,241,1.5
2020/01/07,21:00,22.7,0.0,77,239,2.5
2020/01/07,22:00,22.3,0.0,80,230,2.6
2020/01/07,23:00,21.6,0.0,85,226,1.4
2020/01/08,00:00,21.6,0.0,86,214,2.8
2020/01/08,01:00,21.6,0.0,87,258,1.2
2020/01/08,02:00,21.7,0.0,84,250,1.4
2020/01/08,03:00,21.8,0.0,84,229,2.3
2020/01/08,04:00,21.7,0.0,85,222,2.2
2020/01/08,05:00,21.8,0.0,86,225,1.7
2020/01/08,06:00,21.5,0.0,86,222,2.1
2020/01/08,07:00,21.6,0.0,86,230,2.5
2020/01/08,08:00,22.4,0.0,82,242,1.9
2020/01/08,09:00,25.2,0.0,71,240,1.0
2020/01/08,10:00,24.9,0.0,73,208,4.4
2020/01/08,11:00,24.7,0.0,73,209,5.0
2020/01/08,12:00,25.0,0.0,73,214,4.5
2020/01/08,13:00,24.4,0.0,72,217,6.1
2020/01/08,14:00,25.4,0.0,69,211,6.5
2020/01/08,15:00,25.9,0.0,66,216,5.8
2020/01/08,16:00,24.6,0.0,72,217,4.9
2020/01/08,17:00,23.7,0.0,75,234,3.8
2020/01/08,18:00,23.5,0.0,76,262,2.4
2020/01/08,19:00,22.4,0.0,82,228,3.7
2020/01/08,20:00,22.3,0.0,83,230,3.0
2020/01/08,21:00,21.9,0.0,86,231,3.2
2020/01/08,22:00,22.0,0.0,85,236,1.7
2020/01/08,23:00,21.6,0.0,86,238,2.1
2020/01/09,00:00,21.6,0.0,86,232,2.0
2020/01/09,01:00,21.5,0.0,87,238,2.0
2020/01/09,02:00,21.4,0.0,87,230,1.3
2020/01/09,03:00,21.3,0.0,89,257,1.2
2020/01/09,04:00,21.1,0.0,90,214,1.6
2020/01/09,05:00,20.7,0.0,91,227,1.1
2020/01/09,06:00,20.8,0.0,91,239,0.9
2020/01/09,07:00,21.1,0.0,90,211,1.7
2020/01/09,08:00,21.8,0.0,87,212,2.8
2020/01/09,09:00,22.4,0.0,83,212,3.0
2020/01/09,10:00,22.3,0.0,83,220,3.2
2020/01/13,14:00,S/D,0.0,100,195,3.4
2020/01/13,15:00,23.4,0.4,73,186,3.3
2020/01/13,16:00,22.7,0.0,77,209,3.2
2020/01/13,17:00,21.7,0.0,83,209,2.7
2020/01/13,18:00,20.9,0.0,86,217,3.1
2020/01/13,19:00,21.0,0.0,86,194,2.5
2020/01/13,20:00,20.5,0.0,89,209,1.9
2020/01/13,21:00,20.6,0.0,87,208,2.6
2020/01/13,22:00,20.5,0.0,87,219,1.7
2020/01/13,23:00,20.5,0.0,88,213,2.0
2020/01/14,00:00,20.2,0.0,90,212,1.8
2020/01/14,01:00,20.1,0.0,90,261,0.5
2020/01/14,02:00,20.1,0.0,91,189,2.6
2020/01/14,03:00,19.7,0.0,93,207,2.6
2020/01/14,04:00,19.6,0.0,94,214,0.6
2020/01/14,05:00,19.7,0.0,94,204,0.5
2020/01/14,06:00,20.3,0.0,91,204,0.5
2020/01/14,07:00,20.7,0.0,88,235,1.3
2020/01/14,08:00,20.6,0.0,87,195,1.8
2020/01/14,09:00,21.6,0.0,82,179,1.8
2020/01/14,10:00,22.7,0.0,79,188,3.3
2020/01/14,11:00,24.0,0.0,73,191,2.3
2020/01/14,12:00,24.5,0.0,69,185,4.2
2020/01/14,13:00,24.8,0.0,69,187,4.1
2020/01/14,14:00,24.0,0.0,71,193,4.2
2020/01/14,15:00,23.8,0.0,73,205,4.5
2020/01/14,16:00,22.9,0.0,75,196,4.1
2020/01/14,17:00,22.1,0.0,79,195,3.4
2020/01/14,18:00,21.0,0.0,83,194,3.5
2020/01/14,19:00,21.0,0.0,83,207,2.4
2020/01/14,20:00,20.9,0.0,85,198,2.5
2020/01/14,21:00,20.2,0.0,88,213,2.5
2020/01/14,22:00,20.5,0.0,87,213,2.4
2020/01/14,23:00,20.3,0.0,90,197,1.7
2020/01/15,00:00,20.4,0.0,89,212,1.9
2020/01/15,01:00,19.9,0.0,90,228,0.5
2020/01/15,02:00,20.5,0.0,87,187,1.2
2020/01/15,03:00,20.6,0.0,86,187,1.0
2020/01/15,04:00,20.7,0.0,85,192,1.6
2020/01/15,05:00,20.6,0.0,87,200,1.4
2020/01/15,06:00,20.5,0.0,88,196,1.6
2020/01/15,07:00,21.0,0.0,87,205,1.4
2020/01/15,08:00,22.3,0.0,80,192,0.9
2020/01/15,09:00,23.1,0.0,77,199,2.9
2020/01/15,10:00,24.3,0.0,72,189,2.4
2020/01/15,11:00,25.4,0.0,66,204,3.0
2020/01/15,12:00,25.0,0.0,67,188,3.6
2020/01/15,13:00,24.9,0.0,68,191,4.4
2020/01/15,14:00,25.6,0.0,65,199,3.4
2020/01/15,15:00,24.9,0.0,69,204,5.7
2020/01/15,16:00,24.2,0.0,74,204,3.7
2020/01/15,17:00,22.5,0.0,82,204,3.6
2020/01/15,18:00,21.5,0.0,86,205,4.2
2020/01/15,19:00,21.3,0.0,88,226,2.1
2020/01/15,20:00,21.2,0.0,87,210,2.8
2020/01/15,21:00,21.2,0.0,86,208,2.5
2020/01/15,22:00,21.2,0.0,89,209,2.9
2020/01/15,23:00,21.1,0.0,88,243,1.7
2020/01/16,00:00,21.0,0.0,88,216,2.5
2020/01/16,01:00,21.1,0.0,87,214,1.7
2020/01/16,02:00,21.1,0.0,87,222,1.4
2020/01/16,03:00,20.8,0.0,91,212,1.5
2020/01/16,04:00,20.7,0.0,91,209,2.2
2020/01/16,05:00,20.6,0.0,92,210,1.8
2020/01/16,06:00,20.3,0.0,93,193,2.0
2020/01/16,07:00,20.4,0.0,94,213,1.8
2020/01/16,08:00,20.3,0.0,94,221,1.2
2020/01/16,09:00,23.0,0.0,82,209,2.4
2020/01/16,10:00,22.5,0.0,81,213,3.1
2020/01/16,11:00,22.5,0.0,84,208,3.3
2020/01/16,12:00,23.4,0.0,80,206,4.3
2020/01/16,13:00,23.4,0.0,77,211,3.4
2020/01/16,14:00,24.1,0.0,76,207,5.0
2020/01/16,15:00,23.8,0.0,77,214,4.6
2020/01/16,16:00,23.4,0.0,76,211,5.1
2020/01/16,17:00,22.3,0.0,80,216,5.3
2020/01/16,18:00,21.9,0.0,83,209,3.3
2020/01/16,19:00,21.9,0.0,86,252,1.5
2020/01/16,20:00,21.5,0.0,86,241,1.7
2020/01/16,21:00,21.6,0.0,85,236,2.2
2020/01/16,22:00,21.4,0.0,86,228,2.0
