Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/03/01,00:00,22.8,0.0,86,207,1.8
2020/03/01,01:00,22.9,0.0,86,213,2.0
2020/03/01,02:00,22.4,0.0,89,210,1.7
2020/03/01,03:00,22.7,0.0,88,45,0.0
2020/03/01,04:00,22.7,0.0,88,212,1.5
2020/03/01,05:00,22.6,0.0,89,207,1.7
2020/03/01,06:00,22.4,0.0,89,215,2.2
2020/03/01,07:00,22.7,0.0,88,238,0.8
2020/03/01,08:00,22.8,0.0,88,214,2.7
2020/03/01,09:00,22.9,0.0,88,209,2.5
2020/03/01,10:00,25.2,0.0,77,231,1.7
2020/03/01,11:00,26.4,0.0,72,213,3.3
2020/03/01,12:00,26.1,0.0,68,206,4.0
2020/03/01,13:00,25.7,0.0,73,216,2.7
2020/03/01,14:00,26.8,0.0,66,211,2.7
2020/03/01,15:00,27.0,0.0,64,210,2.5
2020/03/01,16:00,24.5,0.0,76,212,3.0
2020/03/01,17:00,23.5,0.0,83,211,3.1
2020/03/01,18:00,23.5,0.0,83,209,2.4
2020/03/01,19:00,23.8,0.0,79,212,3.1
2020/03/01,20:00,23.8,0.0,77,211,2.9
2020/03/01,21:00,23.5,0.0,80,220,3.2
2020/03/01,22:00,23.4,0.0,80,217,2.2
2020/03/01,23:00,23.6,0.0,79,223,2.0
2020/03/02,00:00,23.7,0.0,77,214,2.7
2020/03/02,01:00,23.7,0.0,76,238,1.0
2020/03/02,02:00,23.5,0.0,80,211,2.6
2020/03/02,03:00,23.8,0.0,76,217,1.6
2020/03/02,04:00,22.6,0.0,85,219,2.3
2020/03/02,05:00,22.8,0.0,85,227,1.6
2020/03/02,06:00,22.8,0.0,86,230,2.6
2020/03/02,07:00,23.1,0.0,85,266,0.7
2020/03/02,08:00,24.1,0.0,78,223,1.5
2020/03/02,09:00,25.6,0.0,75,207,3.2
2020/03/02,10:00,27.6,0.0,65,222,2.5
2020/03/02,11:00,27.3,0.0,67,211,3.4
2020/03/02,12:00,26.8,0.0,71,211,5.6
2020/03/02,13:00,27.3,0.0,66,208,4.4
2020/03/02,14:00,28.2,0.0,60,210,3.8
2020/03/02,15:00,27.9,0.0,64,215,4.4
2020/03/02,16:00,27.6,0.0,64,217,3.5
2020/03/02,17:00,25.4,0.0,72,216,3.4
2020/03/02,18:00,25.0,0.0,75,212,3.4
2020/03/02,19:00,24.0,0.0,79,217,3.1
