Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/11/01,00:00,16.0,0.0,89,211,2.0
2020/11/01,01:00,16.2,0.0,86,202,3.5
2020/11/01,02:00,16.1,0.0,87,196,2.4
2020/11/01,03:00,16.0,0.0,88,206,1.6
2020/11/01,04:00,16.0,0.0,90,215,1.9
2020/11/01,05:00,15.8,0.0,91,207,1.9
2020/11/01,06:00,15.8,0.0,91,210,1.5
2020/11/01,07:00,16.4,0.0,87,207,0.9
2020/11/01,08:00,17.1,0.0,82,199,1.6
2020/11/01,09:00,18.2,0.0,75,206,0.6
2020/11/01,10:00,17.9,0.0,79,195,2.8
2020/11/01,11:00,18.0,0.0,79,230,1.6
2020/11/01,12:00,19.2,0.0,74,208,2.3
2020/11/01,13:00,19.1,0.0,76,210,3.9
2020/11/01,14:00,19.3,0.0,75,208,5.1
2020/11/01,15:00,19.3,0.0,72,212,3.9
2020/11/01,16:00,17.9,0.0,77,214,3.6
2020/11/01,17:00,17.3,0.0,82,210,4.0
2020/11/01,18:00,17.2,0.0,85,202,2.7
2020/11/01,19:00,16.7,0.0,86,215,2.4
2020/11/01,20:00,16.4,0.0,88,207,2.6
2020/11/01,21:00,16.6,0.0,88,212,2.3
2020/11/01,22:00,16.5,0.0,89,235,0.9
2020/11/01,23:00,16.4,0.0,88,217,2.1
2020/11/02,00:00,16.5,0.0,88,216,2.5
2020/11/02,01:00,16.2,0.0,89,224,1.7
2020/11/02,02:00,16.2,0.0,89,205,2.5
2020/11/02,03:00,16.1,0.0,90,211,2.9
2020/11/02,04:00,16.1,0.0,90,217,2.4
2020/11/02,05:00,15.9,0.0,89,209,3.1
2020/11/02,06:00,16.0,0.0,86,205,2.2
2020/11/02,07:00,16.2,0.0,83,196,2.4
2020/11/02,08:00,16.1,0.0,84,194,1.9
2020/11/02,09:00,16.2,0.0,85,260,0.5
2020/11/02,10:00,17.4,0.0,81,294,0.6
2020/11/02,11:00,19.9,0.0,71,343,1.1
2020/11/02,12:00,19.2,0.0,73,201,2.5
2020/11/02,13:00,19.3,0.0,70,195,4.9
2020/11/02,14:00,19.8,0.0,73,198,5.6
2020/11/02,15:00,19.2,0.0,71,200,4.1
2020/11/02,16:00,18.8,0.0,72,200,4.5
2020/11/02,17:00,17.7,0.0,79,204,4.2
2020/11/02,18:00,17.2,0.0,84,214,3.3
2020/11/02,19:00,17.1,0.0,85,208,2.9
2020/11/02,20:00,17.4,0.0,83,303,0.1
2020/11/02,21:00,17.0,0.0,85,219,1.9
2020/11/02,22:00,16.5,0.0,88,213,1.6
2020/11/02,23:00,16.3,0.0,89,201,2.3
2020/11/03,00:00,16.2,0.0,91,210,1.3
2020/11/03,01:00,16.6,0.0,89,218,1.1
2020/11/03,02:00,16.9,0.0,85,237,1.2
2020/11/03,03:00,17.0,0.0,82,221,1.2
2020/11/03,04:00,17.1,0.0,82,208,1.6
2020/11/03,05:00,16.9,0.0,83,258,0.3
2020/11/03,06:00,17.0,0.0,83,198,1.9
2020/11/03,07:00,17.4,0.0,81,207,2.4
2020/11/03,08:00,17.7,0.0,80,213,2.2
2020/11/03,09:00,18.7,0.0,75,199,3.9
2020/11/03,10:00,20.4,0.0,71,206,3.2
2020/11/03,11:00,20.0,0.0,71,203,5.0
2020/11/03,12:00,20.4,0.0,69,207,4.6
2020/11/03,13:00,20.3,0.0,69,207,5.5
2020/11/03,14:00,20.6,0.0,64,208,4.9
2020/11/03,15:00,20.2,0.0,68,206,5.3
2020/11/03,16:00,19.0,0.0,75,211,4.3
2020/11/03,17:00,18.1,0.0,76,212,3.2
2020/11/03,18:00,17.5,0.0,81,208,2.8
2020/11/03,19:00,17.1,0.0,85,204,2.2
2020/11/03,20:00,16.7,0.0,86,206,2.0
2020/11/03,21:00,16.7,0.0,85,218,1.7
2020/11/03,22:00,16.8,0.0,82,215,1.7
2020/11/03,23:00,16.6,0.0,81,214,1.1
2020/11/04,00:00,16.5,0.0,85,208,2.1
2020/11/04,01:00,16.0,0.0,89,212,1.9
2020/11/04,02:00,16.1,0.0,90,210,1.4
2020/11/04,03:00,15.8,0.0,90,236,0.5
2020/11/04,04:00,15.5,0.0,90,1,0.5
2020/11/04,05:00,15.6,0.0,90,213,1.6
2020/11/04,06:00,15.3,0.0,91,210,1.9
