Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/08/01,00:00,14.6,0.0,83,214,2.2
2020/08/01,01:00,14.5,0.0,84,217,1.6
2020/08/01,02:00,14.5,0.0,84,213,2.2
2020/08/01,03:00,14.7,0.0,84,206,3.0
2020/08/01,04:00,14.3,0.0,84,210,2.4
2020/08/01,05:00,14.4,0.0,85,207,2.3
2020/08/01,06:00,14.3,0.0,85,226,1.2
2020/08/01,07:00,14.2,0.0,87,211,2.7
2020/08/01,08:00,14.3,0.0,88,208,2.4
2020/08/01,09:00,14.8,0.0,84,335,0.3
2020/08/01,10:00,15.6,0.0,80,242,1.9
2020/08/01,11:00,17.2,0.0,74,211,2.8
2020/08/01,12:00,18.3,0.0,70,211,4.7
2020/08/01,13:00,17.5,0.0,71,216,3.9
2020/08/01,14:00,17.7,0.0,69,208,4.6
2020/08/01,15:00,17.3,0.0,72,209,5.1
2020/08/01,16:00,17.3,0.0,75,207,4.6
2020/08/01,17:00,16.2,0.0,81,209,3.9
2020/08/01,18:00,15.7,0.0,84,212,3.4
2020/08/01,19:00,15.4,0.0,86,222,2.1
2020/08/01,20:00,15.3,0.0,88,232,2.3
2020/08/01,21:00,15.2,0.0,86,227,2.2
2020/08/01,22:00,15.0,0.0,86,215,2.4
2020/08/01,23:00,15.0,0.0,87,222,1.7
2020/08/02,00:00,14.9,0.0,88,216,2.0
2020/08/02,01:00,14.4,0.0,89,207,2.2
2020/08/02,02:00,14.5,0.0,90,204,3.7
