Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/02/01,00:00,22.8,0.0,83,209,2.9
2020/02/01,01:00,22.6,0.0,85,214,2.8
2020/02/01,02:00,23.1,0.0,80,221,1.0
2020/02/01,03:00,23.1,0.0,81,208,1.9
2020/02/01,04:00,22.9,0.0,83,218,1.5
2020/02/01,05:00,22.6,0.0,85,205,2.1
2020/02/01,06:00,22.4,0.0,87,213,1.9
2020/02/01,07:00,22.1,0.0,91,200,1.6
2020/02/01,08:00,22.4,0.0,88,194,1.3
2020/02/01,09:00,24.0,0.0,79,267,2.2
2020/02/01,10:00,26.7,0.0,69,263,1.6
2020/02/01,11:00,25.5,0.0,72,181,4.4
2020/02/01,12:00,25.4,0.0,75,188,3.4
2020/02/01,13:00,25.3,0.0,74,195,5.4
2020/02/01,14:00,24.0,0.0,79,203,4.2
2020/02/01,15:00,23.4,0.0,80,197,3.9
2020/02/01,16:00,24.1,0.0,80,201,3.4
2020/02/01,17:00,23.2,0.0,83,207,4.1
2020/02/01,18:00,22.3,0.0,86,213,3.1
2020/02/01,19:00,21.7,0.0,91,208,2.0
2020/02/01,20:00,22.5,0.0,85,227,1.8
2020/02/01,21:00,22.9,0.0,85,243,1.3
2020/02/01,22:00,22.7,0.0,87,227,2.0
2020/02/01,23:00,22.6,0.0,87,218,2.2
2020/02/02,00:00,22.3,0.0,89,208,3.1
2020/02/02,01:00,22.1,0.0,89,208,2.7
2020/02/02,02:00,22.3,0.0,89,251,0.4
2020/02/02,03:00,21.8,0.0,91,215,2.1
2020/02/02,04:00,21.6,0.0,92,210,1.8
2020/02/02,05:00,21.7,0.0,91,206,1.9
2020/02/02,06:00,21.4,0.0,93,211,1.8
2020/02/02,07:00,21.8,0.0,91,214,0.4
2020/02/02,08:00,22.6,0.0,89,209,1.3
2020/02/02,09:00,24.1,0.0,80,200,3.5
2020/02/02,10:00,23.6,0.0,83,195,4.2
